Student_ID,Item_ID,Item_Name,Category,Quantity,Purchase_Date,Price_per_Unit,Total_Amount,Payment_Mode
Student041,I214,Soap,Hygiene,3,2024-05-05 00:00:00,30,90,Cash
Student009,I854,Soap,Hygiene,5,2024-02-14 00:00:00,30,150,UPI
Student028,I132,Soap,Hygiene,1,2024-04-21 00:00:00,30,30,Cash
Student033,I716,Soap,Hygiene,5,2024-04-11 00:00:00,30,150,UPI
Student042,I818,Shampoo,Hygiene,4,2024-04-22 00:00:00,45,180,Card
Student038,I384,Soap,Hygiene,2,2024-12-23 00:00:00,30,60,Card
Student022,I384,Snacks,Food,2,2024-06-21 00:00:00,20,40,Cash
Student006,I489,Soap,Hygiene,3,2024-06-25 00:00:00,30,90,UPI
Student017,I926,Soap,Hygiene,4,2024-10-01 00:00:00,30,120,Cash
Student025,I180,Shampoo,Hygiene,3,2024-11-17 00:00:00,45,135,UPI
Student024,I691,Snacks,Food,1,2024-01-24 00:00:00,20,20,UPI
Student015,I891,Notebook,Stationery,1,2024-04-29 00:00:00,50,50,Cash
Student025,I384,Pen,Stationery,3,2024-03-24 00:00:00,10,30,Card
Student023,I314,Juice,Food,3,2024-12-25 00:00:00,25,75,UPI
Student042,I173,Shampoo,Hygiene,2,2024-09-30 00:00:00,45,90,UPI
Student016,I267,Pen,Stationery,4,2024-05-18 00:00:00,10,40,UPI
Student045,I670,Snacks,Food,3,2024-01-29 00:00:00,20,60,Cash
Student003,I924,Notebook,Stationery,4,2024-05-17 00:00:00,50,200,Cash
Student014,I680,Juice,Food,3,2024-04-18 00:00:00,25,75,UPI
Student032,I505,Juice,Food,4,2024-03-14 00:00:00,25,100,Card
Student009,I352,Juice,Food,5,2024-10-02 00:00:00,25,125,Card
Student048,I698,Pen,Stationery,5,2024-07-23 00:00:00,10,50,Card
Student015,I241,Shampoo,Hygiene,4,2024-02-16 00:00:00,45,180,Cash
Student008,I256,Juice,Food,2,2024-12-14 00:00:00,25,50,Card
Student039,I165,Pen,Stationery,4,2024-11-01 00:00:00,10,40,Card
Student034,I357,Shampoo,Hygiene,1,2024-12-14 00:00:00,45,45,UPI
Student008,I798,Shampoo,Hygiene,3,2024-11-24 00:00:00,45,135,Card
Student008,I400,Pen,Stationery,2,2024-08-20 00:00:00,10,20,Cash
Student047,I996,Juice,Food,3,2024-09-13 00:00:00,25,75,Cash
Student033,I208,Juice,Food,3,2024-11-23 00:00:00,25,75,UPI
Student039,I303,Snacks,Food,3,2024-03-23 00:00:00,20,60,UPI
Student050,I643,Soap,Hygiene,5,2024-06-14 00:00:00,30,150,Card
Student002,I214,Notebook,Stationery,3,2024-05-02 00:00:00,50,150,Cash
Student016,I999,Shampoo,Hygiene,1,2024-02-13 00:00:00,45,45,UPI
Student032,I935,Soap,Hygiene,5,2024-03-05 00:00:00,30,150,Cash
Student043,I586,Shampoo,Hygiene,2,2024-05-15 00:00:00,45,90,UPI
Student039,I533,Snacks,Food,5,2024-12-19 00:00:00,20,100,Cash
Student046,I419,Pen,Stationery,3,2024-08-12 00:00:00,10,30,UPI
Student029,I223,Snacks,Food,2,2024-02-02 00:00:00,20,40,Card
Student002,I702,Shampoo,Hygiene,2,2024-10-28 00:00:00,45,90,Cash
Student001,I172,Juice,Food,1,2024-04-27 00:00:00,25,25,Cash
Student003,I980,Notebook,Stationery,1,2024-09-20 00:00:00,50,50,Cash
Student018,I785,Pen,Stationery,2,2024-10-03 00:00:00,10,20,Cash
Student047,I684,Shampoo,Hygiene,4,2024-05-04 00:00:00,45,180,Card
Student027,I294,Soap,Hygiene,1,2024-12-03 00:00:00,30,30,Card
Student023,I533,Pen,Stationery,4,2024-01-28 00:00:00,10,40,UPI
Student042,I761,Soap,Hygiene,1,2024-07-25 00:00:00,30,30,UPI
Student022,I919,Soap,Hygiene,2,2024-04-08 00:00:00,30,60,Cash
Student035,I559,Snacks,Food,4,2024-04-03 00:00:00,20,80,Card
Student030,I355,Soap,Hygiene,4,2024-10-08 00:00:00,30,120,Cash
Student004,I767,Shampoo,Hygiene,1,2024-02-17 00:00:00,45,45,Cash
Student011,I516,Pen,Stationery,4,2024-04-19 00:00:00,10,40,Card
Student004,I268,Pen,Stationery,1,2024-07-18 00:00:00,10,10,Card
Student030,I392,Pen,Stationery,5,2024-12-04 00:00:00,10,50,UPI
Student032,I258,Snacks,Food,3,2024-04-21 00:00:00,20,60,Cash
Student038,I853,Shampoo,Hygiene,1,2024-06-09 00:00:00,45,45,Cash
Student004,I698,Pen,Stationery,5,2024-09-28 00:00:00,10,50,Cash
Student004,I620,Soap,Hygiene,2,2024-02-05 00:00:00,30,60,UPI
Student005,I791,Snacks,Food,4,2024-03-02 00:00:00,20,80,UPI
Student016,I692,Shampoo,Hygiene,1,2024-11-13 00:00:00,45,45,Cash
Student027,I773,Shampoo,Hygiene,5,2024-09-24 00:00:00,45,225,Card
Student017,I309,Juice,Food,3,2024-05-02 00:00:00,25,75,Card
Student026,I234,Juice,Food,3,2024-08-22 00:00:00,25,75,Card
Student049,I174,Soap,Hygiene,4,2024-11-14 00:00:00,30,120,UPI
Student007,I175,Shampoo,Hygiene,2,2024-09-16 00:00:00,45,90,Card
Student009,I457,Soap,Hygiene,2,2024-07-08 00:00:00,30,60,Card
Student011,I548,Shampoo,Hygiene,3,2024-11-09 00:00:00,45,135,UPI
Student034,I108,Juice,Food,5,2024-06-02 00:00:00,25,125,UPI
Student007,I999,Snacks,Food,3,2024-02-29 00:00:00,20,60,Cash
Student048,I666,Snacks,Food,3,2024-05-24 00:00:00,20,60,UPI
Student014,I834,Notebook,Stationery,2,2024-12-17 00:00:00,50,100,UPI
Student017,I617,Pen,Stationery,3,2024-01-27 00:00:00,10,30,Cash
Student041,I533,Notebook,Stationery,1,2024-01-02 00:00:00,50,50,Card
Student050,I233,Juice,Food,3,2024-03-23 00:00:00,25,75,UPI
Student029,I664,Juice,Food,4,2024-10-14 00:00:00,25,100,Cash
Student008,I177,Juice,Food,2,2024-10-06 00:00:00,25,50,Cash
Student024,I696,Shampoo,Hygiene,2,2024-08-08 00:00:00,45,90,Cash
Student003,I415,Notebook,Stationery,1,2024-07-02 00:00:00,50,50,Cash
Student044,I355,Juice,Food,1,2024-06-30 00:00:00,25,25,UPI
Student027,I735,Juice,Food,2,2024-05-01 00:00:00,25,50,Cash
Student012,I522,Soap,Hygiene,2,2024-06-19 00:00:00,30,60,Card
Student043,I984,Juice,Food,2,2024-05-16 00:00:00,25,50,Cash
Student045,I210,Pen,Stationery,1,2024-08-28 00:00:00,10,10,Cash
Student013,I936,Pen,Stationery,3,2024-06-05 00:00:00,10,30,Cash
Student015,I124,Juice,Food,2,2024-07-23 00:00:00,25,50,Card
Student018,I985,Soap,Hygiene,3,2024-06-28 00:00:00,30,90,UPI
Student033,I509,Juice,Food,5,2024-06-18 00:00:00,25,125,Cash
