Review_ID,Student_ID,Review_Text,Timestamp,Sentiment_Label,Sentiment_Score,Aspect_Tagged,Length_of_Review
R001,Student041,This is a review about WiFi,2024-02-25 00:00:00,Negative,-0.53,Food,44
R002,Student036,This is a review about WiFi,2024-11-08 00:00:00,Positive,0.3,Cleanliness,34
R003,Student045,This is a review about WiFi,2024-11-28 00:00:00,Neutral,-0.77,Food,7
R004,Student020,This is a review about WiFi,2024-02-29 00:00:00,Positive,-0.53,Cleanliness,13
R005,Student025,This is a review about WiFi,2024-07-08 00:00:00,Negative,0.9,Cleanliness,39
R006,Student027,This is a review about Cleanliness,2024-03-20 00:00:00,Neutral,0.31,WiFi,44
R007,Student027,This is a review about WiFi,2024-01-17 00:00:00,Negative,-0.26,WiFi,33
R008,Student016,This is a review about WiFi,2024-02-20 00:00:00,Negative,-0.27,Cleanliness,27
R009,Student004,This is a review about WiFi,2024-05-21 00:00:00,Positive,0.94,WiFi,10
R010,Student043,This is a review about Food,2024-11-24 00:00:00,Negative,0.19,Food,8
R011,Student022,This is a review about Food,2024-03-05 00:00:00,Negative,-0.59,Cleanliness,18
R012,Student038,This is a review about Food,2024-04-29 00:00:00,Neutral,0.55,Cleanliness,5
R013,Student018,This is a review about Food,2024-03-07 00:00:00,Negative,-0.5,Food,12
R014,Student043,This is a review about Food,2024-03-08 00:00:00,Positive,-0.28,Food,42
R015,Student021,This is a review about Food,2024-03-30 00:00:00,Neutral,-0.9,Cleanliness,31
R016,Student034,This is a review about Food,2024-02-02 00:00:00,Neutral,-0.1,WiFi,37
R017,Student038,This is a review about Food,2024-08-19 00:00:00,Negative,-0.56,Cleanliness,7
R018,Student047,This is a review about Cleanliness,2024-09-23 00:00:00,Neutral,-0.08,Food,8
R019,Student031,This is a review about WiFi,2024-08-06 00:00:00,Negative,-0.78,Cleanliness,33
R020,Student005,This is a review about Food,2024-06-13 00:00:00,Negative,-0.7,Food,22
R021,Student040,This is a review about Cleanliness,2024-10-26 00:00:00,Negative,0.42,WiFi,43
R022,Student034,This is a review about WiFi,2024-08-20 00:00:00,Negative,0.21,Food,49
R023,Student008,This is a review about Cleanliness,2024-11-29 00:00:00,Negative,0.44,Food,32
R024,Student029,This is a review about Food,2024-07-30 00:00:00,Neutral,0.65,WiFi,31
R025,Student047,This is a review about Food,2024-06-09 00:00:00,Neutral,-0.37,WiFi,28
R026,Student010,This is a review about Cleanliness,2024-08-30 00:00:00,Positive,-0.82,Food,10
R027,Student028,This is a review about Food,2024-07-09 00:00:00,Positive,0.11,Cleanliness,40
R028,Student036,This is a review about WiFi,2024-12-09 00:00:00,Positive,-0.18,Cleanliness,32
R029,Student047,This is a review about Food,2024-05-27 00:00:00,Negative,-0.38,Food,41
R030,Student033,This is a review about Food,2024-03-20 00:00:00,Negative,-0.04,Food,27
R031,Student036,This is a review about WiFi,2024-02-28 00:00:00,Neutral,0.15,WiFi,40
R032,Student050,This is a review about Cleanliness,2024-11-10 00:00:00,Negative,0.29,Food,43
R033,Student043,This is a review about Cleanliness,2024-05-16 00:00:00,Positive,-0.64,Cleanliness,24
R034,Student022,This is a review about WiFi,2024-01-04 00:00:00,Positive,0.74,Cleanliness,47
R035,Student026,This is a review about Food,2024-03-13 00:00:00,Negative,0.27,Food,10
R036,Student048,This is a review about Cleanliness,2024-04-20 00:00:00,Neutral,-0.16,WiFi,15
R037,Student024,This is a review about WiFi,2024-06-15 00:00:00,Negative,0.19,Food,14
R038,Student011,This is a review about Cleanliness,2024-01-26 00:00:00,Negative,-0.84,WiFi,47
R039,Student028,This is a review about WiFi,2024-11-06 00:00:00,Neutral,-0.17,Food,37
R040,Student008,This is a review about WiFi,2024-08-08 00:00:00,Positive,-0.43,Cleanliness,42
R041,Student032,This is a review about Cleanliness,2024-12-07 00:00:00,Neutral,-0.91,WiFi,43
