Complaint_ID,Student_ID,Audio_File,Transcription,Timestamp,Complaint_Category,Urgency_Level,Sentiment,Resolved_Status
C001,Student021,/audio/complaint1.wav,Complaint about WiFi,24-01-2024 00:00,Food,High,Neutral,Pending
C002,Student002,/audio/complaint2.wav,Complaint about WiFi,25-01-2024 00:00,Food,Low,Neutral,Resolved
C003,Student019,/audio/complaint3.wav,Complaint about Food,26-01-2024 00:00,Electricity,High,Frustrated,Pending
C004,Student032,/audio/complaint4.wav,Complaint about Cleanliness,27-01-2024 00:00,Food,Medium,Frustrated,Resolved
C005,Student047,/audio/complaint5.wav,Complaint about Cleanliness,28-01-2024 00:00,Electricity,High,Neutral,Resolved
C006,Student011,/audio/complaint6.wav,Complaint about Food,29-01-2024 00:00,Electricity,High,Neutral,Pending
C007,Student034,/audio/complaint7.wav,Complaint about Food,30-01-2024 00:00,Food,High,Angry,Resolved
C008,Student009,/audio/complaint8.wav,Complaint about Cleanliness,31-01-2024 00:00,Water,Low,Angry,Pending
C009,Student014,/audio/complaint9.wav,Complaint about Cleanliness,01-02-2024 00:00,Electricity,High,Neutral,Resolved
C010,Student043,/audio/complaint10.wav,Complaint about WiFi,02-02-2024 00:00,Water,Low,Neutral,Resolved
C011,Student001,/audio/complaint11.wav,Complaint about Food,03-02-2024 00:00,Food,Medium,Neutral,Resolved
C012,Student002,/audio/complaint12.wav,Complaint about Cleanliness,04-02-2024 00:00,Food,Medium,Angry,Pending
C013,Student007,/audio/complaint13.wav,Complaint about Cleanliness,05-02-2024 00:00,Water,High,Neutral,Resolved
C014,Student023,/audio/complaint14.wav,Complaint about WiFi,06-02-2024 00:00,Water,Medium,Frustrated,Resolved
C015,Student037,/audio/complaint15.wav,Complaint about Food,07-02-2024 00:00,Water,Medium,Neutral,Pending
C016,Student042,/audio/complaint16.wav,Complaint about Cleanliness,08-02-2024 00:00,Water,Medium,Frustrated,Resolved
C017,Student036,/audio/complaint17.wav,Complaint about WiFi,09-02-2024 00:00,Food,High,Neutral,Pending
C018,Student006,/audio/complaint18.wav,Complaint about WiFi,10-02-2024 00:00,Food,Medium,Neutral,Pending
C019,Student034,/audio/complaint19.wav,Complaint about Food,11-02-2024 00:00,Water,Low,Neutral,Resolved
C020,Student018,/audio/complaint20.wav,Complaint about Food,12-02-2024 00:00,Food,Medium,Neutral,Pending
C021,Student012,/audio/complaint21.wav,Complaint about WiFi,13-02-2024 00:00,Water,Low,Angry,Resolved
C022,Student005,/audio/complaint22.wav,Complaint about WiFi,14-02-2024 00:00,Food,High,Neutral,Resolved
C023,Student044,/audio/complaint23.wav,Complaint about Cleanliness,15-02-2024 00:00,Electricity,Low,Angry,Pending
C024,Student033,/audio/complaint24.wav,Complaint about Cleanliness,16-02-2024 00:00,Water,High,Frustrated,Pending
C025,Student005,/audio/complaint25.wav,Complaint about WiFi,17-02-2024 00:00,Food,Low,Frustrated,Resolved
C026,Student002,/audio/complaint26.wav,Complaint about Cleanliness,18-02-2024 00:00,Electricity,Medium,Angry,Resolved
C027,Student036,/audio/complaint27.wav,Complaint about WiFi,19-02-2024 00:00,Water,Low,Neutral,Resolved
C028,Student006,/audio/complaint28.wav,Complaint about Cleanliness,20-02-2024 00:00,Water,Low,Angry,Pending
C029,Student018,/audio/complaint29.wav,Complaint about Food,21-02-2024 00:00,Food,Low,Angry,Resolved
C030,Student021,/audio/complaint30.wav,Complaint about WiFi,22-02-2024 00:00,Water,High,Frustrated,Resolved
C031,Student024,/audio/complaint31.wav,Complaint about WiFi,23-02-2024 00:00,Water,High,Angry,Resolved
C032,Student029,/audio/complaint32.wav,Complaint about Cleanliness,24-02-2024 00:00,Food,Medium,Angry,Pending
C033,Student006,/audio/complaint33.wav,Complaint about WiFi,25-02-2024 00:00,Water,Low,Neutral,Resolved
C034,Student025,/audio/complaint34.wav,Complaint about Food,26-02-2024 00:00,Electricity,Medium,Angry,Pending
C035,Student037,/audio/complaint35.wav,Complaint about Cleanliness,27-02-2024 00:00,Food,Medium,Angry,Pending
C036,Student018,/audio/complaint36.wav,Complaint about WiFi,28-02-2024 00:00,Electricity,High,Angry,Pending
C037,Student028,/audio/complaint37.wav,Complaint about WiFi,29-02-2024 00:00,Electricity,Medium,Angry,Resolved
C038,Student017,/audio/complaint38.wav,Complaint about Food,01-03-2024 00:00,Electricity,Low,Neutral,Pending
C039,Student030,/audio/complaint39.wav,Complaint about Food,02-03-2024 00:00,Electricity,High,Frustrated,Resolved
C040,Student040,/audio/complaint40.wav,Complaint about WiFi,03-03-2024 00:00,Electricity,Medium,Frustrated,Pending
C041,Student020,/audio/complaint41.wav,Complaint about WiFi,04-03-2024 00:00,Food,High,Frustrated,Resolved
C042,Student012,/audio/complaint42.wav,Complaint about WiFi,05-03-2024 00:00,Electricity,Low,Neutral,Resolved
C043,Student037,/audio/complaint43.wav,Complaint about Food,06-03-2024 00:00,Electricity,Medium,Frustrated,Resolved
C044,Student008,/audio/complaint44.wav,Complaint about Cleanliness,07-03-2024 00:00,Food,Low,Angry,Pending
C045,Student047,/audio/complaint45.wav,Complaint about WiFi,08-03-2024 00:00,Water,Medium,Frustrated,Pending
C046,Student027,/audio/complaint46.wav,Complaint about Cleanliness,09-03-2024 00:00,Water,Low,Frustrated,Pending
C047,Student017,/audio/complaint47.wav,Complaint about Cleanliness,10-03-2024 00:00,Food,Medium,Frustrated,Pending
C048,Student029,/audio/complaint48.wav,Complaint about Cleanliness,11-03-2024 00:00,Food,Medium,Neutral,Resolved
C049,Student035,/audio/complaint49.wav,Complaint about Food,12-03-2024 00:00,Food,Low,Neutral,Pending
C050,Student007,/audio/complaint50.wav,Complaint about Food,13-03-2024 00:00,Food,Medium,Angry,Pending
C051,Student037,/audio/complaint51.wav,Complaint about Cleanliness,14-03-2024 00:00,Food,Medium,Frustrated,Resolved
C052,Student007,/audio/complaint52.wav,Complaint about Food,15-03-2024 00:00,Electricity,High,Neutral,Pending
C053,Student029,/audio/complaint53.wav,Complaint about WiFi,16-03-2024 00:00,Electricity,Low,Neutral,Pending
C054,Student023,/audio/complaint54.wav,Complaint about Food,17-03-2024 00:00,Water,Medium,Frustrated,Pending
C055,Student008,/audio/complaint55.wav,Complaint about Cleanliness,18-03-2024 00:00,Electricity,Medium,Frustrated,Resolved
C056,Student014,/audio/complaint56.wav,Complaint about Cleanliness,19-03-2024 00:00,Electricity,Medium,Angry,Resolved
C057,Student047,/audio/complaint57.wav,Complaint about Cleanliness,20-03-2024 00:00,Electricity,High,Frustrated,Pending
C058,Student046,/audio/complaint58.wav,Complaint about Food,21-03-2024 00:00,Electricity,Low,Angry,Pending
C059,Student048,/audio/complaint59.wav,Complaint about Food,22-03-2024 00:00,Water,Low,Angry,Resolved
C060,Student036,/audio/complaint60.wav,Complaint about WiFi,23-03-2024 00:00,Water,Medium,Neutral,Pending
C061,Student012,/audio/complaint61.wav,Complaint about Cleanliness,24-03-2024 00:00,Electricity,Medium,Angry,Pending
C062,Student029,/audio/complaint62.wav,Complaint about Cleanliness,25-03-2024 00:00,Electricity,High,Neutral,Pending
C063,Student014,/audio/complaint63.wav,Complaint about WiFi,26-03-2024 00:00,Water,Low,Angry,Pending
C064,Student024,/audio/complaint64.wav,Complaint about WiFi,27-03-2024 00:00,Electricity,High,Frustrated,Resolved
C065,Student034,/audio/complaint65.wav,Complaint about Cleanliness,28-03-2024 00:00,Food,Medium,Neutral,Resolved
C066,Student038,/audio/complaint66.wav,Complaint about Food,29-03-2024 00:00,Electricity,Medium,Neutral,Pending
C067,Student044,/audio/complaint67.wav,Complaint about Cleanliness,30-03-2024 00:00,Food,Low,Angry,Pending
C068,Student021,/audio/complaint68.wav,Complaint about Food,31-03-2024 00:00,Electricity,High,Angry,Resolved
C069,Student045,/audio/complaint69.wav,Complaint about Food,01-04-2024 00:00,Electricity,Medium,Neutral,Pending
C070,Student037,/audio/complaint70.wav,Complaint about WiFi,02-04-2024 00:00,Water,Medium,Neutral,Pending
C071,Student036,/audio/complaint71.wav,Complaint about Food,03-04-2024 00:00,Electricity,High,Angry,Resolved
C072,Student029,/audio/complaint72.wav,Complaint about Cleanliness,04-04-2024 00:00,Electricity,High,Frustrated,Pending
C073,Student013,/audio/complaint73.wav,Complaint about WiFi,05-04-2024 00:00,Food,Low,Frustrated,Resolved
C074,Student044,/audio/complaint74.wav,Complaint about WiFi,06-04-2024 00:00,Food,Medium,Frustrated,Pending
C075,Student006,/audio/complaint75.wav,Complaint about Cleanliness,07-04-2024 00:00,Water,Medium,Angry,Resolved
C076,Student015,/audio/complaint76.wav,Complaint about Cleanliness,08-04-2024 00:00,Water,Medium,Neutral,Resolved
C077,Student036,/audio/complaint77.wav,Complaint about Cleanliness,09-04-2024 00:00,Food,High,Frustrated,Resolved
C078,Student035,/audio/complaint78.wav,Complaint about Food,10-04-2024 00:00,Food,High,Frustrated,Pending
C079,Student048,/audio/complaint79.wav,Complaint about Cleanliness,11-04-2024 00:00,Electricity,High,Frustrated,Resolved
C080,Student023,/audio/complaint80.wav,Complaint about Food,12-04-2024 00:00,Water,High,Angry,Resolved
C081,Student046,/audio/complaint81.wav,Complaint about Cleanliness,13-04-2024 00:00,Electricity,High,Neutral,Pending
C082,Student014,/audio/complaint82.wav,Complaint about Food,14-04-2024 00:00,Food,Medium,Neutral,Resolved
C083,Student039,/audio/complaint83.wav,Complaint about Cleanliness,15-04-2024 00:00,Electricity,Low,Frustrated,Resolved
C084,Student037,/audio/complaint84.wav,Complaint about WiFi,16-04-2024 00:00,Food,High,Angry,Resolved
C085,Student004,/audio/complaint85.wav,Complaint about WiFi,17-04-2024 00:00,Water,Low,Angry,Pending
C086,Student010,/audio/complaint86.wav,Complaint about Cleanliness,18-04-2024 00:00,Water,Low,Frustrated,Resolved
C087,Student010,/audio/complaint87.wav,Complaint about Cleanliness,19-04-2024 00:00,Electricity,Low,Frustrated,Resolved
C088,Student029,/audio/complaint88.wav,Complaint about Food,20-04-2024 00:00,Water,Medium,Neutral,Resolved
C089,Student045,/audio/complaint89.wav,Complaint about WiFi,21-04-2024 00:00,Electricity,Medium,Neutral,Pending
C090,Student050,/audio/complaint90.wav,Complaint about Cleanliness,22-04-2024 00:00,Food,Medium,Neutral,Resolved
C091,Student005,/audio/complaint91.wav,Complaint about Cleanliness,23-04-2024 00:00,Water,Medium,Angry,Resolved
C092,Student018,/audio/complaint92.wav,Complaint about WiFi,24-04-2024 00:00,Electricity,Low,Neutral,Pending
C093,Student037,/audio/complaint93.wav,Complaint about WiFi,25-04-2024 00:00,Food,High,Angry,Pending
