Event_ID,Event_Name,Video_File,Date_Time,Detected_Student_Count,Duration,Activity_Type,Motion_Level,Face_Detection_Status,Engagement_Score
E001,Event_2,/videos/event1.mp4,04-08-2024 00:00,49,97,Performance,Low,Successful,0.38
E002,Event_2,/videos/event2.mp4,22-02-2024 00:00,25,218,Performance,Low,Partial,0.77
E003,Event_3,/videos/event3.mp4,24-11-2024 00:00,48,103,Game,High,Failed,0.01
E004,Event_3,/videos/event4.mp4,13-08-2024 00:00,27,139,Seminar,High,Successful,0.92
E005,Event_10,/videos/event5.mp4,17-12-2024 00:00,33,141,Game,Low,Successful,0.75
E006,Event_10,/videos/event6.mp4,15-07-2024 00:00,27,249,Performance,Low,Successful,0.28
E007,Event_2,/videos/event7.mp4,07-05-2024 00:00,40,175,Seminar,Low,Failed,0.88
E008,Event_4,/videos/event8.mp4,22-09-2024 00:00,43,290,Game,High,Partial,0.3
E009,Event_1,/videos/event9.mp4,02-05-2024 00:00,36,227,Game,Low,Partial,0.64
E010,Event_2,/videos/event10.mp4,27-09-2024 00:00,5,214,Performance,Low,Partial,0.86
E011,Event_10,/videos/event11.mp4,03-08-2024 00:00,28,118,Performance,Low,Successful,0.59
E012,Event_1,/videos/event12.mp4,14-05-2024 00:00,18,50,Game,Medium,Failed,0.29
E013,Event_9,/videos/event13.mp4,31-07-2024 00:00,32,235,Game,High,Failed,0.54
E014,Event_3,/videos/event14.mp4,22-05-2024 00:00,10,188,Game,High,Successful,0.97
E015,Event_3,/videos/event15.mp4,01-10-2024 00:00,25,230,Seminar,High,Failed,0.68
E016,Event_2,/videos/event16.mp4,07-06-2024 00:00,49,253,Seminar,Low,Successful,0.24
E017,Event_7,/videos/event17.mp4,29-02-2024 00:00,34,58,Performance,High,Failed,0.66
E018,Event_3,/videos/event18.mp4,02-03-2024 00:00,5,100,Seminar,Low,Successful,0.5
E019,Event_6,/videos/event19.mp4,24-09-2024 00:00,38,162,Game,Medium,Successful,0.75
E020,Event_5,/videos/event20.mp4,01-03-2024 00:00,6,201,Performance,Medium,Failed,0.06
E021,Event_10,/videos/event21.mp4,17-11-2024 00:00,9,284,Performance,High,Partial,0.06
E022,Event_10,/videos/event22.mp4,26-03-2024 00:00,28,110,Performance,Low,Failed,0.67
