Date,Day_of_Week,Breakfast_Consumption,Lunch_Consumption,Dinner_Consumption,Special_Event,Avg_Temperature,Number_of_Absent_Students,Previous_Day_Leftovers,Meal_Feedback_Rating
2024-01-01,Monday,41,35,38,0,22.8,6,0.2,4.4
2024-01-02,Tuesday,36,37,50,0,29.5,4,3.3,3.1
2024-01-03,Wednesday,30,45,34,0,28.2,0,1.1,3.4
2024-01-04,Thursday,39,50,38,1,33.2,5,2.3,1.9
2024-01-05,Friday,39,46,49,1,27.9,0,2.6,3.6
2024-01-06,Saturday,41,47,50,1,23.1,1,2.4,2.3
2024-01-07,Sunday,38,50,40,1,22.4,10,1.5,1.6
2024-01-08,Monday,37,31,49,1,29.2,10,0.7,1.1
2024-01-09,Tuesday,45,39,38,1,24.9,0,2.9,5.0
2024-01-10,Wednesday,36,40,37,1,33.4,10,1.8,2.2
2024-01-11,Thursday,35,47,35,1,19.7,2,3.7,3.9
2024-01-12,Friday,47,35,40,0,21.8,3,3.7,2.2
2024-01-13,Saturday,40,41,38,1,25.9,1,2.4,4.5
2024-01-14,Sunday,48,48,49,0,26.0,3,2.5,4.5
2024-01-15,Monday,42,46,39,1,18.9,2,0.7,1.8
2024-01-16,Tuesday,43,48,44,0,23.4,2,3.9,3.0
2024-01-17,Wednesday,50,35,40,0,18.1,4,1.0,4.1
2024-01-18,Thursday,48,35,45,0,20.2,6,3.2,2.6
2024-01-19,Friday,45,42,30,0,27.1,5,4.8,4.6
2024-01-20,Saturday,46,36,30,0,28.7,3,1.1,4.5
2024-01-21,Sunday,39,34,33,1,26.6,4,0.8,4.3
2024-01-22,Monday,39,39,44,1,25.4,10,5.0,2.4
2024-01-23,Tuesday,45,41,36,0,34.1,6,0.1,1.9
2024-01-24,Wednesday,34,36,30,0,20.1,10,4.0,2.5
2024-01-25,Thursday,50,38,47,0,28.1,0,3.3,3.6
2024-01-26,Friday,30,31,33,1,25.6,1,2.7,2.9
2024-01-27,Saturday,34,36,50,0,23.1,10,0.5,3.1
2024-01-28,Sunday,49,49,34,1,32.1,1,2.6,3.5
2024-01-29,Monday,39,33,33,1,21.4,3,3.9,4.3
2024-01-30,Tuesday,36,41,43,1,20.7,8,2.5,1.8
2024-01-31,Wednesday,45,40,37,0,18.2,1,4.5,4.3
2024-02-01,Thursday,45,34,32,0,30.3,1,4.5,3.6
2024-02-02,Friday,44,39,38,1,18.9,2,4.4,4.4
2024-02-03,Saturday,41,40,43,0,19.6,0,0.0,1.6
2024-02-04,Sunday,50,35,40,1,33.2,9,1.3,3.9
2024-02-05,Monday,41,40,35,0,24.8,7,1.4,2.5
2024-02-06,Tuesday,45,43,50,0,19.9,0,4.9,4.4
2024-02-07,Wednesday,33,43,48,1,31.6,10,2.2,3.4
2024-02-08,Thursday,41,49,30,0,26.2,7,0.6,2.6
2024-02-09,Friday,31,32,38,1,18.2,10,2.6,4.0
2024-02-10,Saturday,48,37,40,0,25.4,3,2.4,3.7
2024-02-11,Sunday,50,42,34,0,18.2,2,2.5,2.9
2024-02-12,Monday,45,35,32,1,23.5,5,4.9,1.2
2024-02-13,Tuesday,37,47,50,1,24.9,3,0.4,2.8
2024-02-14,Wednesday,48,44,32,1,25.6,1,4.9,4.0
2024-02-15,Thursday,30,33,42,1,18.6,8,0.0,1.4
2024-02-16,Friday,49,49,50,1,33.1,8,1.0,3.7
2024-02-17,Saturday,40,41,31,0,32.4,5,2.8,3.5
2024-02-18,Sunday,45,41,44,0,19.7,10,1.1,2.4
2024-02-19,Monday,50,39,47,1,29.9,0,4.5,3.0
2024-02-20,Tuesday,43,33,38,0,21.2,6,1.1,4.3
2024-02-21,Wednesday,36,40,33,1,18.8,10,4.2,3.4
2024-02-22,Thursday,44,44,48,0,34.4,0,2.7,1.2
2024-02-23,Friday,43,48,45,0,29.8,2,3.7,1.5
2024-02-24,Saturday,42,49,49,1,26.6,6,2.1,3.4
2024-02-25,Sunday,37,38,42,1,34.5,7,4.0,1.6
2024-02-26,Monday,49,46,39,1,30.1,8,3.2,1.8
2024-02-27,Tuesday,49,39,41,0,34.7,10,4.9,1.7
2024-02-28,Wednesday,47,50,40,0,30.9,8,2.4,3.3
2024-02-29,Thursday,43,47,39,1,31.7,8,0.5,2.5
2024-03-01,Friday,31,31,36,1,30.8,2,4.9,3.7
2024-03-02,Saturday,34,31,39,0,30.8,0,1.8,2.8
2024-03-03,Sunday,49,47,37,1,22.0,4,3.5,1.2
2024-03-04,Monday,42,42,43,1,34.4,0,0.1,2.0
2024-03-05,Tuesday,49,44,37,1,30.8,8,3.7,1.8
2024-03-06,Wednesday,36,39,44,0,34.7,1,0.9,1.7
2024-03-07,Thursday,46,33,42,0,25.3,8,1.3,1.6
2024-03-08,Friday,38,30,40,1,30.1,2,0.2,4.7
2024-03-09,Saturday,49,31,50,1,26.3,9,2.8,1.3
2024-03-10,Sunday,40,46,37,0,26.9,8,0.8,3.2
2024-03-11,Monday,42,32,41,0,33.0,10,1.7,2.4
2024-03-12,Tuesday,36,49,46,1,34.9,10,0.0,3.7
2024-03-13,Wednesday,44,37,50,0,34.3,10,4.4,2.5
2024-03-14,Thursday,33,42,38,1,18.4,8,4.1,2.5
2024-03-15,Friday,46,44,45,0,23.0,10,1.0,3.1
2024-03-16,Saturday,33,35,47,0,28.7,3,3.4,4.1
2024-03-17,Sunday,43,33,36,1,29.0,1,3.7,1.6
2024-03-18,Monday,44,40,31,0,19.2,2,4.0,3.2
2024-03-19,Tuesday,48,37,38,1,24.6,10,2.0,2.3
2024-03-20,Wednesday,42,33,47,0,28.9,9,0.3,4.0
2024-03-21,Thursday,31,32,41,0,22.9,10,1.5,1.3
2024-03-22,Friday,44,42,42,0,26.1,8,1.1,4.0
2024-03-23,Saturday,47,39,50,0,23.1,10,1.9,4.8
2024-03-24,Sunday,47,47,34,0,18.7,9,3.0,3.1
2024-03-25,Monday,32,39,36,1,21.6,10,4.3,1.6
2024-03-26,Tuesday,35,37,49,1,21.3,2,3.4,3.3
2024-03-27,Wednesday,31,47,44,0,22.9,1,1.3,1.8
2024-03-28,Thursday,48,45,40,1,20.2,10,1.2,2.1
2024-03-29,Friday,32,36,40,1,25.7,9,3.3,3.8
2024-03-30,Saturday,34,48,48,1,31.7,6,0.8,2.3
2024-03-31,Sunday,37,50,43,1,32.3,2,3.4,2.3
2024-04-01,Monday,45,44,44,1,31.2,7,2.8,1.7
2024-04-02,Tuesday,49,32,38,0,33.2,3,1.3,4.5
2024-04-03,Wednesday,32,32,30,0,31.8,9,2.0,3.4
2024-04-04,Thursday,31,47,38,1,29.1,2,1.8,1.9
2024-04-05,Friday,48,39,34,1,26.5,1,2.0,3.0
2024-04-06,Saturday,37,49,35,0,25.6,2,2.8,3.3
2024-04-07,Sunday,34,45,41,0,21.7,7,1.2,2.1
2024-04-08,Monday,37,31,36,1,24.6,7,4.4,1.2
2024-04-09,Tuesday,50,40,33,1,32.2,4,2.9,3.3
